Year,Month,News_Based_Policy_Uncert_Index
2006,5,67.809799
2006,6,82.586283
2006,7,84.474456
2006,8,71.515095
2006,9,61.751346
2006,10,55.629511
2006,11,49.599131
2006,12,51.039039
2007,1,74.510027
2007,2,50.860025
2007,3,72.529866
2007,4,59.841394
2007,5,71.13732
2007,6,68.759233
2007,7,44.782751
2007,8,90.007297
2007,9,109.89266
2007,10,90.640076
2007,11,106.56617
2007,12,116.9909
2008,1,177.04221
2008,2,108.31474
2008,3,114.47458
2008,4,98.197699
2008,5,88.673434
2008,6,89.136883
2008,7,115.10272
2008,8,81.163078
2008,9,238.17187
2008,10,241.77228
2008,11,162.71338
2008,12,157.82868
2009,1,184.81783
2009,2,202.54797
2009,3,167.99122
2009,4,107.92725
2009,5,125.94462
2009,6,112.47264
2009,7,104.35511
2009,8,111.17434
2009,9,99.009636
2009,10,86.24176
2009,11,99.779269
2009,12,108.39609
2010,1,136.86386
2010,2,116.72156
2010,3,124.68751
2010,4,123.7022
2010,5,147.76326
2010,6,129.7322
2010,7,196.94725
2010,8,127.22817
2010,9,186.74125
2010,10,154.76274
2010,11,175.04428
2010,12,151.55333
2011,1,111.49282
2011,2,104.56237
2011,3,153.84173
2011,4,124.84659
2011,5,84.549161
2011,6,139.0379
2011,7,207.16031
2011,8,283.66557
2011,9,214.42611
2011,10,137.83925
2011,11,143.71456
2011,12,183.08861
2012,1,154.41802
2012,2,119.43544
2012,3,98.748105
2012,4,96.969671
2012,5,135.87985
2012,6,197.46098
2012,7,180.80354
2012,8,142.9553
2012,9,182.10719
2012,10,166.1284
2012,11,205.86466
2012,12,214.95195
2013,1,199.35894
2013,2,128.56251
2013,3,146.11586
2013,4,135.44059
2013,5,109.02804
2013,6,126.62587
2013,7,91.43749
2013,8,108.75838
2013,9,179.88974
2013,10,225.37331
2013,11,89.915173
2013,12,115.02074
2014,1,107.70513
2014,2,93.369298
2014,3,101.01873
2014,4,96.993431
2014,5,102.01504
2014,6,85.968468
2014,7,78.505987
2014,8,63.877336
2014,9,86.216602
2014,10,113.33458
2014,11,93.185943
2014,12,87.415328
2015,1,120.54423
2015,2,87.609469
2015,3,95.978963
2015,4,103.54496
